,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
297,Claudio Puelles,70.0,155.0,72.0,Southpaw,7,5,0,2,0,4490,0.0,7.0,0.0,1925,136,273,305,467,12,39,85,198,42,62,9,13,71,180,7,15,58,78,3.0,1.0,2.0,715.0,219.0,416.0,479.0,727.0,4.0,10.0,116.0,282.0,62.0,85.0,41.0,49.0,151.0,321.0,18.0,27.0,50.0,68.0
298,Claudio Silva,71.0,170.0,71.0,Southpaw,8,5,0,3,0,5683,0.0,7.0,0.0,1914,235,559,497,866,18,67,129,390,50,97,56,72,168,453,11,20,56,86,0.0,2.0,6.0,1121.0,284.0,526.0,407.0,665.0,5.0,9.0,205.0,432.0,60.0,74.0,19.0,20.0,209.0,428.0,32.0,41.0,43.0,57.0
299,Clay Collard,71.0,145.0,73.0,Orthodox,4,1,0,3,0,3527,2.0,2.0,1.0,684,248,770,325,856,11,28,147,604,51,95,50,71,184,669,39,56,25,45,0.0,3.0,3.0,508.0,294.0,596.0,387.0,698.0,2.0,7.0,166.0,426.0,94.0,129.0,34.0,41.0,206.0,474.0,42.0,71.0,46.0,51.0
300,Clay Guida,67.0,155.0,70.0,Orthodox,34,18,0,16,0,23376,6.0,16.0,2.0,9127,1045,3087,1866,4038,76,217,620,2542,166,255,259,290,652,2473,148,213,245,401,6.0,27.0,2.0,2027.0,1150.0,3044.0,1615.0,3570.0,17.0,62.0,863.0,2652.0,195.0,277.0,92.0,115.0,847.0,2643.0,189.0,263.0,114.0,138.0
301,Clay Harvison,73.0,170.0,74.0,Orthodox,3,1,0,2,0,1366,0.0,2.0,1.0,230,75,156,137,224,1,1,38,116,27,28,10,12,38,112,26,31,11,13,2.0,1.0,0.0,567.0,89.0,217.0,135.0,275.0,7.0,22.0,57.0,170.0,20.0,33.0,12.0,14.0,46.0,154.0,33.0,45.0,10.0,18.0
302,Clifford Starks,72.0,185.0,78.0,Orthodox,3,1,0,2,0,1395,0.0,0.0,1.0,531,45,136,119,226,3,3,40,126,4,9,1,1,35,115,3,5,7,16,1.0,2.0,0.0,86.0,58.0,141.0,100.0,189.0,2.0,5.0,30.0,109.0,19.0,20.0,9.0,12.0,38.0,120.0,16.0,17.0,4.0,4.0
303,Clint Hester,74.0,205.0,77.0,Orthodox,7,4,0,3,0,4429,3.0,0.0,2.0,772,248,579,296,628,5,14,179,490,42,54,27,35,191,497,23,34,34,48,3.0,1.0,1.0,1343.0,254.0,589.0,422.0,776.0,10.0,25.0,194.0,510.0,30.0,39.0,30.0,40.0,153.0,451.0,8.0,18.0,93.0,120.0
304,Cody Brundage,72.0,185.0,72.0,Orthodox,4,2,0,2,0,1547,1.0,2.0,0.0,341,47,102,87,150,5,10,34,85,9,12,4,5,28,79,6,8,13,15,0.0,0.0,3.0,745.0,66.0,150.0,167.0,292.0,5.0,16.0,53.0,131.0,6.0,8.0,7.0,11.0,22.0,68.0,18.0,30.0,26.0,52.0
305,Cody Donovan,75.0,205.0,74.0,Orthodox,4,1,0,3,0,1081,2.0,2.0,0.0,242,101,171,135,211,2,7,64,130,34,38,3,3,59,111,36,50,6,10,2.0,0.0,2.0,283.0,98.0,181.0,168.0,261.0,1.0,1.0,74.0,149.0,15.0,22.0,9.0,10.0,54.0,116.0,23.0,36.0,21.0,29.0
306,Cody Durden,67.0,125.0,67.0,Southpaw,6,3,0,3,0,3024,1.0,1.0,0.0,1567,158,322,291,531,14,34,110,262,22,30,26,30,119,268,8,11,31,43,1.0,4.0,2.0,163.0,158.0,310.0,203.0,370.0,2.0,7.0,87.0,211.0,30.0,46.0,41.0,53.0,139.0,280.0,7.0,11.0,12.0,19.0
307,Cody Garbrandt,68.0,125.0,65.0,Orthodox,12,7,0,5,0,7072,10.0,0.0,0.0,334,372,961,399,991,8,26,287,826,36,66,49,69,332,892,17,26,23,43,7.0,0.0,0.0,154.0,497.0,1259.0,533.0,1299.0,2.0,12.0,353.0,1011.0,66.0,125.0,78.0,123.0,439.0,1185.0,26.0,34.0,32.0,40.0
308,Cody Gibson,70.0,135.0,71.0,Orthodox,4,1,0,3,0,2434,2.0,1.0,0.0,373,100,316,129,349,5,13,69,269,23,35,8,12,62,251,32,53,6,12,1.0,4.0,1.0,644.0,103.0,283.0,204.0,388.0,5.0,12.0,49.0,208.0,26.0,38.0,28.0,37.0,58.0,210.0,32.0,55.0,13.0,18.0
309,Cody McKenzie,72.0,155.0,72.0,Switch,7,3,0,4,0,3241,0.0,9.0,3.0,913,94,274,226,413,9,36,73,242,12,19,9,13,67,238,12,18,15,18,1.0,7.0,1.0,724.0,135.0,412.0,200.0,479.0,6.0,7.0,67.0,301.0,47.0,83.0,21.0,28.0,103.0,367.0,8.0,13.0,24.0,32.0
310,Cody Pfister,70.0,155.0,73.0,Orthodox,4,1,0,3,0,2550,0.0,0.0,2.0,978,60,231,177,358,8,26,52,216,8,14,0,1,35,193,13,20,12,18,1.0,4.0,3.0,717.0,119.0,247.0,267.0,418.0,5.0,5.0,71.0,185.0,23.0,36.0,25.0,26.0,62.0,157.0,25.0,36.0,32.0,54.0
311,Cody Stamann,66.0,145.0,64.0,Orthodox,11,6,0,5,0,7828,1.0,0.0,1.0,1780,547,1152,787,1411,24,56,363,898,131,182,53,72,389,938,87,126,71,88,0.0,5.0,1.0,858.0,442.0,1196.0,775.0,1568.0,13.0,54.0,270.0,945.0,85.0,138.0,87.0,113.0,366.0,1074.0,41.0,80.0,35.0,42.0
312,Colby Covington,71.0,170.0,72.0,Orthodox,15,12,0,3,0,14903,1.0,3.0,1.0,6989,1018,2606,1863,3598,67,146,717,2202,159,242,142,162,799,2288,107,158,112,160,4.0,4.0,2.0,377.0,758.0,1709.0,1058.0,2036.0,7.0,25.0,498.0,1368.0,182.0,252.0,78.0,89.0,619.0,1548.0,89.0,104.0,50.0,57.0
313,Cole Escovedo,67.0,135.0,72.0,Orthodox,3,0,0,3,0,2370,0.0,0.0,0.0,168,82,174,109,203,2,5,28,104,41,49,13,21,66,147,15,25,1,2,2.0,1.0,0.0,719.0,218.0,391.0,291.0,467.0,7.0,8.0,129.0,285.0,61.0,71.0,28.0,35.0,181.0,332.0,28.0,43.0,9.0,16.0
314,Cole Miller,73.0,145.0,73.0,Orthodox,20,10,0,9,1,12099,4.0,24.0,9.0,1841,605,1816,832,2064,8,22,421,1530,103,186,81,100,476,1621,70,109,59,86,4.0,2.0,4.0,3385.0,783.0,1923.0,1243.0,2435.0,27.0,44.0,512.0,1568.0,130.0,188.0,141.0,167.0,574.0,1565.0,66.0,115.0,143.0,243.0
315,Cole Smith,71.0,135.0,67.0,Orthodox,3,1,0,2,0,2700,0.0,5.0,0.0,1186,80,226,151,307,5,15,33,126,24,66,23,34,56,192,17,27,7,7,2.0,2.0,2.0,780.0,88.0,175.0,161.0,256.0,6.0,11.0,69.0,147.0,9.0,16.0,10.0,12.0,53.0,128.0,16.0,25.0,19.0,22.0
316,Cole Williams,72.0,170.0,73.0,Orthodox,2,0,0,2,0,584,0.0,0.0,0.0,0,3,11,25,33,0,0,3,9,0,2,0,0,3,11,0,0,0,0,0.0,2.0,0.0,463.0,52.0,68.0,82.0,108.0,3.0,4.0,42.0,57.0,6.0,7.0,4.0,4.0,13.0,21.0,1.0,1.0,38.0,46.0
317,Collin Anglin,69.0,145.0,71.0,Orthodox,2,0,0,2,0,680,0.0,0.0,0.0,31,33,91,36,97,1,2,18,60,11,25,4,6,27,83,6,8,0,0,2.0,0.0,0.0,93.0,94.0,173.0,110.0,189.0,0.0,0.0,51.0,113.0,29.0,41.0,14.0,19.0,80.0,157.0,12.0,12.0,2.0,4.0
318,Colton Smith,72.0,155.0,71.0,Orthodox,4,1,0,3,0,1980,1.0,3.0,0.0,950,54,130,136,234,9,25,21,84,11,18,22,28,30,100,17,22,7,8,2.0,3.0,2.0,139.0,76.0,157.0,80.0,162.0,3.0,4.0,68.0,146.0,6.0,8.0,2.0,3.0,54.0,120.0,14.0,26.0,8.0,11.0
319,Conor McGregor,69.0,155.0,74.0,Southpaw,14,10,0,4,0,6753,13.0,1.0,1.0,833,599,1204,797,1413,5,9,419,947,102,158,78,99,461,1017,61,74,77,113,1.0,4.0,0.0,1854.0,524.0,1143.0,680.0,1320.0,11.0,33.0,364.0,898.0,88.0,136.0,72.0,109.0,331.0,858.0,96.0,142.0,97.0,143.0
320,Constantinos Philippou,71.0,185.0,73.0,Orthodox,10,6,0,4,0,6700,5.0,2.0,1.0,635,244,695,379,858,3,7,196,611,30,56,18,28,176,586,30,44,38,65,2.0,0.0,1.0,2590.0,305.0,669.0,586.0,1010.0,15.0,44.0,165.0,494.0,72.0,95.0,68.0,80.0,189.0,512.0,41.0,57.0,75.0,100.0
321,Corey Anderson,75.0,205.0,79.0,Orthodox,15,10,0,5,0,9760,1.0,0.0,0.0,4016,721,1558,1103,2013,53,106,561,1342,105,156,55,60,423,1122,116,194,182,242,5.0,3.0,0.0,191.0,361.0,885.0,454.0,988.0,2.0,12.0,233.0,713.0,55.0,88.0,73.0,84.0,275.0,754.0,71.0,108.0,15.0,23.0
322,Corey Hill,76.0,155.0,80.0,Orthodox,3,1,0,2,0,1194,0.0,0.0,0.0,498,71,153,130,213,4,5,50,125,18,21,3,7,33,97,16,23,22,33,0.0,1.0,1.0,37.0,32.0,108.0,52.0,128.0,0.0,10.0,13.0,71.0,9.0,14.0,10.0,23.0,23.0,88.0,9.0,20.0,0.0,0.0
323,Cortney Casey,67.0,125.0,67.0,Orthodox,15,6,0,9,0,11422,0.0,6.0,2.0,663,816,2085,1266,2585,5,16,558,1722,87,150,171,213,640,1832,95,142,81,111,1.0,2.0,1.0,3581.0,761.0,1697.0,1120.0,2124.0,29.0,48.0,459.0,1290.0,144.0,218.0,158.0,189.0,607.0,1453.0,78.0,126.0,76.0,118.0
324,Cory McKenna,63.0,115.0,58.0,Orthodox,4,3,0,1,0,3063,0.0,2.0,1.0,1272,152,400,401,731,8,15,137,377,7,13,8,10,127,370,12,16,13,14,0.0,3.0,0.0,352.0,189.0,358.0,288.0,472.0,2.0,5.0,116.0,267.0,32.0,40.0,41.0,51.0,158.0,321.0,19.0,23.0,12.0,14.0
325,Cory Sandhagen,71.0,135.0,70.0,Switch,11,8,0,3,0,7579,4.0,3.0,3.0,918,777,1748,949,1945,6,29,523,1444,122,157,132,147,657,1551,32,50,88,147,1.0,6.0,1.0,1092.0,532.0,1220.0,712.0,1416.0,13.0,36.0,320.0,948.0,116.0,157.0,96.0,115.0,471.0,1125.0,40.0,65.0,21.0,30.0
326,Court McGee,71.0,170.0,75.0,Orthodox,20,10,0,10,0,15951,3.0,8.0,1.0,3829,1243,3340,1744,3909,33,131,674,2463,261,499,308,378,1050,3044,78,144,115,152,6.0,4.0,0.0,828.0,982.0,2509.0,1221.0,2775.0,14.0,46.0,700.0,2104.0,173.0,276.0,109.0,129.0,876.0,2327.0,80.0,140.0,26.0,42.0
327,Craig White,74.0,170.0,76.0,Orthodox,2,0,0,2,0,1172,1.0,1.0,0.0,117,24,59,77,122,0,2,17,49,4,5,3,5,13,29,2,6,9,24,1.0,0.0,0.0,977.0,64.0,106.0,122.0,177.0,3.0,6.0,48.0,87.0,15.0,18.0,1.0,1.0,5.0,17.0,4.0,4.0,55.0,85.0
328,Cristiane Justino,68.0,145.0,68.0,Orthodox,7,6,0,1,0,3902,2.0,0.0,0.0,573,460,807,519,872,3,5,260,573,136,165,64,69,297,582,101,129,62,96,2.0,0.0,0.0,633.0,148.0,461.0,203.0,524.0,2.0,17.0,85.0,361.0,38.0,63.0,25.0,37.0,120.0,414.0,23.0,37.0,5.0,10.0
329,Cristiano Marcello,69.0,155.0,72.0,Orthodox,4,1,0,3,0,3173,0.0,1.0,0.0,262,170,507,227,581,2,17,117,407,32,64,21,36,151,468,17,34,2,5,1.0,1.0,0.0,706.0,210.0,495.0,292.0,626.0,5.0,6.0,168.0,437.0,29.0,37.0,13.0,21.0,164.0,415.0,30.0,44.0,16.0,36.0
330,Cub Swanson,68.0,145.0,70.0,Orthodox,22,13,0,9,0,15893,9.0,2.0,1.0,1244,1370,2655,1577,2887,13,23,811,1923,269,365,290,367,1121,2328,129,164,120,163,4.0,10.0,3.0,2975.0,1106.0,2739.0,1481.0,3178.0,26.0,91.0,721.0,2196.0,184.0,278.0,201.0,265.0,892.0,2396.0,90.0,139.0,124.0,204.0
331,Cung Le,69.0,185.0,70.0,Southpaw,4,2,0,2,0,2583,1.0,0.0,0.0,75,133,320,136,323,2,3,53,209,55,82,25,29,124,307,9,12,0,1,2.0,0.0,0.0,86.0,198.0,528.0,234.0,565.0,0.0,2.0,124.0,423.0,41.0,58.0,33.0,47.0,173.0,488.0,23.0,36.0,2.0,4.0
332,Curt Warburton,72.0,155.0,73.0,Orthodox,3,1,0,2,0,1918,0.0,2.0,0.0,959,68,161,139,279,5,10,25,107,21,23,22,31,43,118,18,22,7,21,1.0,3.0,0.0,153.0,110.0,193.0,227.0,331.0,1.0,6.0,44.0,117.0,40.0,46.0,26.0,30.0,55.0,127.0,39.0,43.0,16.0,23.0
333,Curtis Blaydes,76.0,265.0,80.0,Orthodox,16,12,0,3,1,9227,2.0,0.0,0.0,4806,544,1063,983,1597,62,115,368,865,68,79,108,119,246,693,73,91,225,279,3.0,2.0,0.0,180.0,261.0,651.0,485.0,889.0,4.0,6.0,193.0,559.0,41.0,60.0,27.0,32.0,209.0,584.0,41.0,52.0,11.0,15.0
334,Curtis Millender,74.0,170.0,76.0,Orthodox,5,3,0,2,0,3412,2.0,0.0,0.0,53,222,462,228,468,1,1,132,330,32,57,58,75,207,441,10,13,5,8,0.0,1.0,0.0,1089.0,170.0,442.0,299.0,606.0,8.0,17.0,104.0,338.0,19.0,39.0,47.0,65.0,132.0,377.0,3.0,9.0,35.0,56.0
335,Cynthia Calvillo,64.0,125.0,64.0,Orthodox,12,6,0,6,0,9106,0.0,9.0,0.0,1862,632,1583,778,1765,19,43,336,1112,194,316,102,155,535,1462,19,23,78,98,0.0,2.0,2.0,119.0,600.0,1729.0,644.0,1779.0,4.0,16.0,353.0,1374.0,106.0,178.0,141.0,177.0,558.0,1655.0,36.0,65.0,6.0,9.0
336,Cyril Asker,72.0,247.0,74.0,Orthodox,5,2,0,3,0,1020,0.0,1.0,0.0,492,57,146,148,273,5,8,51,136,6,10,0,0,20,86,4,6,33,54,2.0,1.0,0.0,69.0,99.0,154.0,128.0,186.0,0.0,1.0,70.0,120.0,22.0,26.0,7.0,8.0,60.0,105.0,17.0,20.0,22.0,29.0
337,Cyrille Diabate,78.0,205.0,81.0,Southpaw,8,4,0,4,0,3509,3.0,1.0,2.0,593,254,349,340,442,5,6,156,237,65,74,33,38,177,260,24,32,53,57,2.0,9.0,2.0,1397.0,98.0,260.0,159.0,338.0,12.0,28.0,60.0,203.0,17.0,32.0,21.0,25.0,49.0,184.0,18.0,25.0,31.0,51.0
338,Da-Un Jung,76.0,205.0,78.0,Orthodox,5,4,0,1,0,2767,3.0,1.0,0.0,876,186,421,241,486,8,13,152,378,18,27,16,16,139,362,21,27,26,32,0.0,0.0,0.0,204.0,174.0,388.0,212.0,428.0,1.0,9.0,132.0,333.0,10.0,16.0,32.0,39.0,153.0,351.0,20.0,36.0,1.0,1.0
339,DaMarques Johnson,73.0,170.0,75.0,Orthodox,10,4,0,6,0,3811,2.0,3.0,2.0,812,134,355,205,436,5,9,105,320,18,24,11,11,80,275,20,32,34,48,0.0,14.0,0.0,1579.0,238.0,489.0,386.0,667.0,17.0,21.0,170.0,392.0,36.0,56.0,32.0,41.0,120.0,289.0,32.0,51.0,86.0,149.0
340,Daichi Abe,71.0,170.0,71.0,Orthodox,3,1,0,2,0,2700,1.0,0.0,0.0,22,171,508,175,515,1,2,102,404,12,27,57,77,146,470,11,20,14,18,0.0,0.0,0.0,13.0,202.0,469.0,203.0,470.0,1.0,1.0,93.0,312.0,28.0,49.0,81.0,108.0,196.0,456.0,3.0,8.0,3.0,5.0
341,Dakota Bush,70.0,155.0,73.0,Orthodox,2,0,0,2,0,1127,0.0,0.0,1.0,181,52,134,65,152,3,9,25,84,8,23,19,27,49,131,2,2,1,1,1.0,0.0,3.0,430.0,83.0,142.0,143.0,209.0,1.0,1.0,41.0,95.0,15.0,17.0,27.0,30.0,55.0,106.0,6.0,7.0,22.0,29.0
342,Dalcha Lungiambula,68.0,185.0,76.0,Orthodox,6,2,0,4,0,3873,1.0,0.0,0.0,1048,204,455,301,564,8,20,135,361,58,80,11,14,109,321,45,70,50,64,1.0,2.0,0.0,731.0,258.0,550.0,365.0,668.0,2.0,8.0,156.0,410.0,76.0,106.0,26.0,34.0,182.0,435.0,46.0,69.0,30.0,46.0
343,Dale Hartt,70.0,155.0,69.0,Orthodox,3,1,0,2,0,736,0.0,2.0,0.0,36,14,40,19,45,1,1,1,22,1,1,12,17,14,39,0,1,0,0,0.0,4.0,0.0,402.0,19.0,56.0,52.0,91.0,3.0,4.0,9.0,41.0,2.0,3.0,8.0,12.0,15.0,46.0,0.0,0.0,4.0,10.0
344,Damacio Page,66.0,135.0,66.0,Orthodox,3,0,0,3,0,1142,0.0,1.0,2.0,408,47,128,108,196,3,6,29,99,9,18,9,11,34,98,6,10,7,20,1.0,5.0,1.0,358.0,64.0,140.0,101.0,184.0,5.0,6.0,55.0,128.0,7.0,10.0,2.0,2.0,34.0,84.0,2.0,4.0,28.0,52.0
345,Damian Grabowski,73.0,241.0,75.0,Orthodox,3,0,0,3,0,1051,0.0,0.0,0.0,1,70,194,72,197,0,6,42,155,15,19,13,20,58,176,11,16,1,2,1.0,0.0,0.0,133.0,134.0,274.0,138.0,280.0,1.0,1.0,82.0,212.0,23.0,28.0,29.0,34.0,101.0,221.0,20.0,27.0,13.0,26.0
346,Damian Stasiak,65.0,135.0,70.0,Orthodox,6,2,0,4,0,4431,0.0,3.0,2.0,1015,137,377,156,397,13,37,88,288,28,65,21,24,116,349,8,12,13,16,1.0,7.0,3.0,1262.0,229.0,486.0,363.0,637.0,9.0,16.0,142.0,369.0,38.0,60.0,49.0,57.0,148.0,371.0,37.0,60.0,44.0,55.0
347,Damien Brown,70.0,155.0,68.0,Orthodox,6,2,0,4,0,3964,2.0,3.0,0.0,219,242,627,298,688,3,11,159,509,38,65,45,53,208,574,13,21,21,32,2.0,2.0,1.0,1111.0,321.0,643.0,506.0,848.0,6.0,13.0,251.0,543.0,41.0,63.0,29.0,37.0,260.0,559.0,31.0,37.0,30.0,47.0
348,Damir Hadzovic,69.0,155.0,70.0,Orthodox,9,4,0,5,0,5798,2.0,1.0,1.0,454,325,675,426,793,5,9,246,575,49,70,30,30,254,574,35,47,36,54,1.0,4.0,0.0,2569.0,315.0,841.0,505.0,1082.0,30.0,46.0,218.0,705.0,59.0,97.0,38.0,39.0,243.0,738.0,29.0,39.0,43.0,64.0
349,Damir Ismagulov,70.0,155.0,74.0,Orthodox,6,5,0,1,0,5400,1.0,0.0,0.0,1174,340,797,515,1001,7,25,186,579,105,160,49,58,281,712,18,25,41,60,1.0,1.0,0.0,644.0,226.0,603.0,263.0,649.0,8.0,32.0,110.0,452.0,61.0,81.0,55.0,70.0,197.0,567.0,27.0,32.0,2.0,4.0
350,Damon Jackson,71.0,145.0,71.0,Switch,9,5,0,3,1,4815,0.0,11.0,5.0,2367,213,509,323,636,14,35,147,416,52,77,14,16,125,378,41,59,47,72,1.0,3.0,2.0,980.0,227.0,463.0,537.0,813.0,12.0,21.0,126.0,335.0,74.0,98.0,27.0,30.0,144.0,356.0,68.0,90.0,15.0,17.0
351,Dan Hardy,72.0,170.0,74.0,Orthodox,10,6,0,4,0,7423,3.0,3.0,0.0,1170,304,860,491,1061,6,17,190,691,53,79,61,90,200,690,69,113,35,57,2.0,13.0,2.0,2656.0,425.0,870.0,767.0,1245.0,20.0,31.0,240.0,613.0,116.0,162.0,69.0,95.0,286.0,663.0,68.0,109.0,71.0,98.0
352,Dan Henderson,71.0,185.0,74.0,Orthodox,18,9,0,9,0,13205,9.0,5.0,3.0,1754,526,1155,779,1425,15,35,327,915,86,103,113,137,265,769,150,219,111,167,11.0,8.0,0.0,2735.0,692.0,1459.0,1127.0,1924.0,18.0,49.0,471.0,1185.0,129.0,163.0,92.0,111.0,431.0,1068.0,90.0,146.0,171.0,245.0
353,Dan Hooker,72.0,145.0,75.0,Switch,20,12,0,8,0,11689,8.0,4.0,2.0,2241,941,1985,1301,2384,11,30,589,1482,151,235,201,268,807,1787,74,124,60,74,2.0,14.0,1.0,1117.0,898.0,1867.0,1054.0,2040.0,14.0,74.0,628.0,1493.0,156.0,221.0,114.0,153.0,783.0,1693.0,76.0,126.0,39.0,48.0
354,Dan Ige,67.0,145.0,71.0,Orthodox,12,7,0,5,0,9449,3.0,1.0,1.0,1127,596,1305,762,1508,10,49,389,1034,136,187,71,84,456,1110,44,68,96,127,2.0,5.0,3.0,2061.0,588.0,1345.0,811.0,1600.0,17.0,35.0,435.0,1137.0,100.0,148.0,53.0,60.0,459.0,1153.0,40.0,55.0,89.0,137.0
355,Dan Miller,73.0,185.0,74.0,Orthodox,13,6,0,7,0,8837,2.0,16.0,2.0,1764,298,827,616,1194,15,29,193,662,63,114,42,51,207,691,43,56,48,80,2.0,7.0,4.0,3486.0,458.0,898.0,999.0,1494.0,18.0,34.0,340.0,768.0,46.0,56.0,72.0,74.0,258.0,625.0,75.0,96.0,125.0,177.0
356,Dan Moret,72.0,155.0,73.0,Southpaw,3,0,0,3,0,2159,0.0,1.0,0.0,585,96,219,107,232,3,11,50,159,28,40,18,20,56,157,33,53,7,9,1.0,3.0,2.0,875.0,128.0,226.0,280.0,396.0,6.0,11.0,96.0,190.0,29.0,33.0,3.0,3.0,72.0,140.0,31.0,47.0,25.0,39.0
357,Danaa Batgerel,67.0,135.0,70.0,Orthodox,4,3,0,1,0,1252,3.0,0.0,0.0,18,131,329,166,369,0,1,117,291,7,22,7,16,103,280,5,14,23,35,0.0,0.0,0.0,171.0,57.0,147.0,84.0,191.0,3.0,7.0,40.0,122.0,7.0,13.0,10.0,12.0,52.0,142.0,2.0,2.0,3.0,3.0
358,Daniel Cormier,71.0,235.0,72.0,Orthodox,15,11,0,3,1,12445,2.0,8.0,0.0,3771,911,1664,1533,2352,23,50,682,1359,119,167,110,138,546,1175,209,284,156,205,5.0,0.0,0.0,1238.0,728.0,1470.0,912.0,1663.0,8.0,34.0,412.0,1062.0,199.0,256.0,117.0,152.0,570.0,1236.0,134.0,201.0,24.0,33.0
359,Daniel Da Silva,66.0,125.0,70.0,Switch,3,0,0,3,0,643,1.0,0.0,0.0,86,46,76,63,95,1,3,22,50,11,13,13,13,34,55,2,7,10,14,2.0,1.0,0.0,321.0,110.0,150.0,205.0,259.0,0.0,0.0,87.0,125.0,16.0,17.0,7.0,8.0,29.0,46.0,2.0,2.0,79.0,102.0
360,Daniel Jolly,73.0,205.0,75.0,Orthodox,2,0,0,2,0,337,0.0,0.0,0.0,37,6,17,10,24,0,2,1,7,4,4,1,6,5,16,1,1,0,0,1.0,0.0,0.0,176.0,27.0,32.0,67.0,82.0,3.0,4.0,21.0,26.0,6.0,6.0,0.0,0.0,6.0,11.0,2.0,2.0,19.0,19.0
361,Daniel Kelly,72.0,185.0,70.0,Southpaw,10,6,0,4,0,5801,0.0,2.0,0.0,1070,350,902,505,1082,12,35,303,841,21,32,26,29,242,736,53,81,55,85,3.0,0.0,1.0,370.0,449.0,1172.0,512.0,1248.0,4.0,19.0,316.0,986.0,82.0,115.0,51.0,71.0,382.0,1090.0,53.0,65.0,14.0,17.0
362,Daniel Omielanczuk,72.0,247.0,74.0,Southpaw,9,4,0,5,0,6438,2.0,1.0,2.0,747,332,579,567,827,4,15,169,387,93,115,70,77,196,412,107,132,29,35,0.0,3.0,1.0,3513.0,353.0,673.0,636.0,997.0,13.0,41.0,167.0,451.0,141.0,166.0,45.0,56.0,126.0,395.0,128.0,160.0,99.0,118.0
363,Daniel Pineda,67.0,145.0,69.0,Orthodox,10,4,0,5,1,4423,1.0,8.0,4.0,1075,247,505,502,796,7,31,175,414,37,50,35,41,133,354,16,21,98,130,3.0,0.0,0.0,1456.0,219.0,402.0,412.0,629.0,20.0,35.0,153.0,313.0,49.0,69.0,17.0,20.0,157.0,309.0,31.0,40.0,31.0,53.0
364,Daniel Roberts,70.0,170.0,74.0,Southpaw,7,3,0,4,0,4019,0.0,11.0,2.0,943,49,240,187,401,11,25,26,200,16,24,7,16,34,212,7,10,8,18,1.0,2.0,1.0,1574.0,152.0,282.0,381.0,539.0,9.0,15.0,76.0,197.0,40.0,48.0,36.0,37.0,67.0,165.0,27.0,44.0,58.0,73.0
365,Daniel Rodriguez,73.0,170.0,74.0,Southpaw,9,7,0,2,0,6201,4.0,1.0,1.0,204,770,1517,832,1584,1,5,533,1234,106,142,131,141,741,1474,10,14,19,29,1.0,1.0,0.0,811.0,523.0,1202.0,604.0,1301.0,12.0,33.0,272.0,857.0,141.0,209.0,110.0,136.0,491.0,1129.0,13.0,24.0,19.0,49.0
366,Daniel Sarafian,69.0,185.0,73.0,Orthodox,6,2,0,4,0,2533,1.0,2.0,0.0,322,94,201,118,226,1,14,56,150,22,34,16,17,89,193,4,7,1,1,2.0,1.0,1.0,869.0,131.0,314.0,190.0,385.0,6.0,13.0,90.0,259.0,17.0,29.0,24.0,26.0,101.0,263.0,6.0,12.0,24.0,39.0
367,Daniel Spitz,79.0,245.0,82.0,Orthodox,4,1,0,3,0,2423,0.0,0.0,0.0,66,105,292,128,316,2,3,59,218,24,46,22,28,93,275,8,13,4,4,1.0,0.0,0.0,83.0,214.0,398.0,223.0,408.0,0.0,0.0,102.0,259.0,60.0,81.0,52.0,58.0,185.0,360.0,20.0,27.0,9.0,11.0
368,Daniel Spohn,76.0,205.0,79.0,Southpaw,1,0,0,1,0,900,0.0,2.0,0.0,64,24,51,52,80,0,1,20,46,1,1,3,4,17,40,6,10,1,1,0.0,3.0,0.0,664.0,11.0,24.0,110.0,127.0,5.0,7.0,11.0,24.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,1.0,6.0,11.0
369,Daniel Teymur,65.0,145.0,69.0,Orthodox,5,1,0,4,0,3219,0.0,1.0,0.0,596,165,353,199,393,2,11,87,234,20,24,58,95,114,276,27,40,24,37,1.0,8.0,0.0,823.0,211.0,483.0,312.0,616.0,8.0,20.0,149.0,396.0,49.0,73.0,13.0,14.0,124.0,356.0,27.0,35.0,60.0,92.0
