,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
1410,Sheldon Westcott,73.0,170.0,71.0,Southpaw,3,1,0,2,0,1673,0.0,0.0,0.0,946,63,155,116,222,6,16,48,124,13,28,2,3,10,43,20,39,33,73,0.0,0.0,0.0,431.0,104.0,166.0,176.0,248.0,6.0,7.0,73.0,125.0,24.0,34.0,7.0,7.0,30.0,73.0,27.0,33.0,47.0,60.0
1411,Sheymon Moraes,68.0,145.0,72.0,Orthodox,5,2,0,3,0,3757,2.0,0.0,0.0,190,188,445,204,464,0,4,83,294,85,127,20,24,150,384,30,40,8,21,2.0,3.0,1.0,1074.0,228.0,627.0,304.0,718.0,12.0,26.0,131.0,477.0,60.0,96.0,37.0,54.0,168.0,536.0,27.0,41.0,33.0,50.0
1412,Shinsho Anzai,67.0,170.0,70.0,Orthodox,4,2,0,2,0,1968,0.0,0.0,0.0,739,106,182,193,293,4,25,74,136,23,30,9,16,59,121,45,56,2,5,1.0,2.0,1.0,243.0,123.0,226.0,162.0,268.0,1.0,4.0,90.0,186.0,20.0,27.0,13.0,13.0,58.0,145.0,50.0,63.0,15.0,18.0
1413,Sijara Eubanks,64.0,125.0,67.0,Orthodox,10,5,0,5,0,8074,1.0,3.0,2.0,2825,578,1337,773,1564,17,38,437,1138,100,154,41,45,419,1097,39,57,120,183,1.0,3.0,1.0,1244.0,461.0,1074.0,759.0,1418.0,7.0,21.0,343.0,910.0,73.0,110.0,45.0,54.0,377.0,963.0,60.0,80.0,24.0,31.0
1414,Silvana Gomez Juarez,63.0,115.0,65.0,Orthodox,4,1,0,3,0,1381,2.0,0.0,0.0,81,98,306,102,312,0,0,66,265,24,30,8,11,87,287,4,7,7,12,0.0,3.0,0.0,459.0,93.0,244.0,116.0,279.0,7.0,10.0,67.0,201.0,17.0,31.0,9.0,12.0,87.0,237.0,6.0,7.0,0.0,0.0
1415,Simeon Thoresen,73.0,170.0,79.0,Orthodox,3,1,0,2,0,1606,0.0,3.0,1.0,425,103,236,150,290,2,5,64,192,28,32,11,12,66,184,30,40,7,12,1.0,2.0,1.0,253.0,103.0,291.0,234.0,449.0,1.0,2.0,86.0,260.0,15.0,23.0,2.0,8.0,69.0,233.0,18.0,29.0,16.0,29.0
1416,Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,8,4,0,4,0,5443,5.0,2.0,1.0,940,264,648,465,869,8,13,191,537,54,80,19,31,130,452,59,86,75,110,0.0,1.0,1.0,1707.0,293.0,576.0,656.0,968.0,12.0,32.0,167.0,390.0,49.0,86.0,77.0,100.0,223.0,445.0,36.0,58.0,34.0,73.0
1417,Soa Palelei,76.0,265.0,81.0,Orthodox,7,4,0,3,0,3597,0.0,0.0,0.0,1286,121,211,319,429,9,20,91,171,18,27,12,13,38,95,26,37,57,79,1.0,4.0,1.0,1129.0,179.0,347.0,450.0,640.0,2.0,11.0,111.0,257.0,38.0,53.0,30.0,37.0,65.0,199.0,98.0,129.0,16.0,19.0
1418,Sodiq Yusuff,69.0,145.0,71.0,Orthodox,7,6,0,1,0,4018,2.0,3.0,1.0,792,323,670,429,805,1,7,172,483,75,99,76,88,238,547,52,74,33,49,1.0,0.0,0.0,579.0,222.0,546.0,250.0,576.0,6.0,16.0,127.0,419.0,66.0,93.0,29.0,34.0,196.0,507.0,25.0,35.0,1.0,4.0
1419,Song Kenan,72.0,170.0,71.0,Orthodox,6,4,0,2,0,2680,3.0,0.0,1.0,56,196,424,207,439,0,0,127,310,33,65,36,49,164,382,14,22,18,20,1.0,1.0,1.0,426.0,195.0,433.0,219.0,459.0,6.0,12.0,131.0,344.0,30.0,47.0,34.0,42.0,180.0,405.0,11.0,23.0,4.0,5.0
