FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent,form_skore_fighter,Win_Decision,Win_Other,Win-striking,Win-ground,Lost_Decision,Lost_Other,Lost-striking,Lost-ground,AGE,fights_coef,lost_ground_rat,coef_zada,ground_def_skill,fights_coef_gr_att,win_ground_rat,coef_kontrola,ground_att_skill,fights_coef_str_def,lost_str_rat,coef_nohy,stand_def_skill,fights_coef_str_att,stand_att_skill,fights_coef_stamina,avg_time,win_dec_rat,stamina
Joseph Holmes,76.0,185.0,80.0,Orthodox,3,1,0,2,0,1448,1.0,1.0,1.0,255,87,156,96,166,1,3,49,106,20,28,18,22,69,133,11,13,7,10,0.0,2.0,0.0,459.0,69.0,163.0,103.0,210.0,4.0,8.0,36.0,119.0,19.0,25.0,14.0,19.0,55.0,144.0,10.0,14.0,4.0,5.0,-0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,27.0,-0.5,0.3333333333333333,0.3169889502762431,49.99033149171271,-0.3333333333333333,0.0,0.17610497237569062,38.924723756906076,3.0,0.0,0.5069060773480663,63.27624309392265,-0.25,39.81077348066298,-0.3333333333333333,1.608888888888889,0.0,24.942222222222224
Joseph Morales,66.0,125.0,69.0,Switch,3,1,0,2,0,1710,1.0,5.0,0.0,113,45,121,54,132,1,2,31,102,10,13,4,6,24,79,2,7,19,35,1.0,1.0,1.0,911.0,49.0,125.0,101.0,185.0,10.0,13.0,34.0,102.0,10.0,17.0,5.0,6.0,25.0,83.0,1.0,2.0,23.0,40.0,-0.6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,28.0,-1.0,0.0,0.5327485380116959,53.01754385964912,-0.3333333333333333,0.0,0.06608187134502924,33.973684210526315,1.5,0.3333333333333333,0.40116959064327484,44.21345029239767,-0.25,35.05263157894737,-0.3333333333333333,1.9,0.0,25.233333333333334
Joseph Sandoval,67.0,135.0,0.0,Southpaw,2,0,0,2,0,99,0.0,0.0,0.0,0,3,7,3,7,0,0,3,7,0,0,0,0,3,7,0,0,0,0,3.0,0.0,0.0,5.0,20.0,51.0,20.0,51.0,0.0,0.0,17.0,47.0,0.0,1.0,3.0,3.0,15.0,44.0,4.0,5.0,1.0,2.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,-2.0,0.0,0.050505050505050504,66.48484848484848,-0.6666666666666666,0.0,0.0,12.0,0.6666666666666666,1.0,0.9494949494949495,38.64646464646464,-0.6666666666666666,54.72727272727273,-0.6666666666666666,0.165,0.0,21.831666666666667
Josh Barnett,75.0,250.0,78.0,Orthodox,10,7,0,3,0,5513,1.0,5.0,1.0,1739,392,637,643,907,5,8,248,476,116,130,28,31,133,285,171,219,88,133,1.0,2.0,1.0,1736.0,220.0,445.0,330.0,567.0,9.0,22.0,145.0,352.0,42.0,51.0,33.0,42.0,113.0,282.0,75.0,113.0,32.0,50.0,0.30000000000000004,1.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,45.0,3.0,0.1,0.314892073281335,60.55323780155995,1.0,0.1,0.31543624161073824,68.69463087248323,3.3333333333333335,0.2,0.3696716851079267,50.1202007376504,0.6,48.3352258298567,1.5,1.8376666666666666,0.1,38.337666666666664
Josh Bryant,70.0,185.0,0.0,Orthodox,1,0,0,1,0,492,0.0,0.0,0.0,0,9,45,9,45,0,2,7,38,1,2,1,5,9,45,0,0,0,0,1.0,0.0,0.0,5.0,50.0,88.0,50.0,88.0,0.0,0.0,28.0,62.0,4.0,4.0,18.0,22.0,43.0,74.0,4.0,6.0,3.0,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,-1.5,1.0,0.01016260162601626,38.19512195121951,-1.5,0.0,0.0,2.0,1.0,0.0,0.9898373983739838,80.59349593495935,-1.5,46.54268292682927,-1.5,1.64,0.0,19.14
Josh Clopton,66.0,145.0,0.0,Orthodox,2,0,0,2,0,1800,0.0,0.0,0.0,664,48,75,141,174,4,6,22,48,14,14,12,13,20,42,20,22,8,11,0.0,3.0,1.0,526.0,86.0,173.0,268.0,359.0,2.0,8.0,49.0,125.0,31.0,35.0,6.0,13.0,26.0,98.0,50.0,61.0,10.0,14.0,-0.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,-2.0,0.0,0.2922222222222222,59.233333333333334,-0.6666666666666666,0.0,0.3688888888888889,28.599999999999998,2.0,0.0,0.3388888888888889,55.55555555555556,-0.6666666666666666,27.25,-0.6666666666666666,3.0,0.0,24.666666666666668
Josh Copeland,73.0,265.0,0.0,Orthodox,2,0,0,2,0,1692,0.0,0.0,0.0,10,29,92,39,102,0,0,20,79,8,12,1,1,19,74,10,18,0,0,1.0,0.0,0.0,406.0,85.0,190.0,116.0,226.0,3.0,7.0,49.0,146.0,23.0,29.0,13.0,15.0,60.0,156.0,15.0,17.0,10.0,17.0,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,-1.0,0.5,0.23995271867612294,46.801418439716315,-0.6666666666666666,0.0,0.00591016548463357,12.26595744680851,2.0,0.0,0.7541371158392435,72.16548463356975,-0.6666666666666666,45.93617021276596,-0.6666666666666666,2.82,0.0,24.486666666666668
Josh Culibao,70.0,145.0,73.0,Orthodox,4,2,0,2,0,3181,3.0,1.0,0.0,220,162,367,219,432,0,11,100,278,34,56,28,33,140,334,13,18,9,15,0.0,6.0,0.0,948.0,162.0,418.0,245.0,510.0,3.0,17.0,97.0,320.0,36.0,62.0,29.0,36.0,99.0,318.0,18.0,35.0,45.0,65.0,0.3999999999999999,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,0.0,0.25,0.2980194907261867,53.5594152782144,0.0,0.0,0.06916064130776485,23.11222885884942,4.0,0.0,0.6328198679660484,69.31279471864194,0.0,48.476894058472176,0.0,2.6508333333333334,0.5,47.65083333333334
Josh Emmett,66.0,145.0,70.0,Orthodox,11,9,0,2,0,8687,11.0,1.0,1.0,592,620,1645,665,1705,10,25,404,1353,126,190,90,102,509,1478,41,54,70,113,1.0,0.0,0.0,265.0,621.0,1697.0,687.0,1771.0,5.0,12.0,438.0,1438.0,97.0,157.0,86.0,102.0,576.0,1621.0,33.0,58.0,12.0,18.0,1.5000000000000002,6.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,37.0,7.0,0.0,0.03050535282606193,76.08483941521814,0.6363636363636364,0.18181818181818182,0.0681478070680327,34.7939240453342,5.5,0.09090909090909091,0.9013468401059054,77.91750996787258,0.7,77.14242598658393,2.3333333333333335,2.6324242424242423,0.5454545454545454,61.11727272727273
Josh Ferguson,65.0,125.0,0.0,Orthodox,2,0,0,2,0,1522,0.0,0.0,1.0,530,54,123,83,159,1,9,37,104,14,16,3,3,42,109,7,9,5,5,1.0,2.0,1.0,346.0,106.0,157.0,200.0,254.0,5.0,11.0,64.0,114.0,33.0,34.0,9.0,9.0,55.0,102.0,28.0,31.0,23.0,24.0,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,-1.0,0.5,0.22733245729303547,47.18002628120894,-0.6666666666666666,0.0,0.34822601839684625,27.67017082785808,2.0,0.0,0.4244415243101183,58.977660972404735,-0.6666666666666666,31.09986859395532,-0.6666666666666666,2.5366666666666666,0.0,24.203333333333333
