FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent,form_skore_fighter,Win_Decision,Win_Other,Win-striking,Win-ground,Lost_Decision,Lost_Other,Lost-striking,Lost-ground,AGE,fights_coef,lost_ground_rat,coef_zada,ground_def_skill,fights_coef_gr_att,win_ground_rat,coef_kontrola,ground_att_skill,fights_coef_str_def,lost_str_rat,coef_nohy,stand_def_skill,fights_coef_str_att,stand_att_skill,fights_coef_stamina,avg_time,win_dec_rat,stamina
Chris Price,74.0,185.0,0.0,Southpaw,2,0,0,2,0,417,0.0,1.0,1.0,39,10,15,15,21,0,0,3,8,7,7,0,0,3,6,7,7,0,2,0.0,2.0,1.0,326.0,18.0,35.0,35.0,58.0,2.0,3.0,17.0,34.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,15.0,28.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,-0.6666666666666666,1.0,0.7817745803357314,15.88009592326139,-0.6666666666666666,0.0,0.09352517985611511,16.20863309352518,2.0,0.0,0.12470023980815348,46.98800959232614,-0.6666666666666666,17.611510791366907,-0.6666666666666666,0.695,0.0,22.361666666666668
Chris Sanford,71.0,185.0,0.0,Orthodox,1,0,0,1,0,261,0.0,1.0,0.0,0,1,2,3,4,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0.0,0.0,0.0,189.0,14.0,17.0,27.0,31.0,2.0,2.0,13.0,16.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,12.0,14.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,-1.5,1.0,0.7241379310344828,16.775862068965516,-1.5,0.0,0.0,2.0,1.0,0.0,0.27586206896551724,52.03448275862069,-1.5,14.413793103448276,-1.5,0.87,0.0,18.37
Chris Saunders,68.0,155.0,0.0,0,1,0,0,1,0,243,0.0,0.0,0.0,36,6,27,6,27,1,1,1,14,0,1,5,12,6,27,0,0,0,0,0.0,1.0,0.0,0.0,12.0,49.0,12.0,49.0,0.0,0.0,5.0,30.0,2.0,5.0,5.0,14.0,12.0,49.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,-1.5,1.0,0.0,38.5,-1.5,0.0,0.14814814814814814,8.666666666666666,1.0,0.0,0.8518518518518519,75.07407407407408,-1.5,40.333333333333336,-1.5,0.81,0.0,18.310000000000002
Chris Spang,74.0,170.0,0.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,0,5,57,24,76,0,0,1,44,1,4,3,9,4,53,1,4,0,0,0.0,0.0,0.0,269.0,38.0,99.0,57.0,118.0,6.0,10.0,12.0,53.0,5.0,9.0,21.0,37.0,26.0,77.0,10.0,16.0,2.0,6.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,-3.0,0.0,0.29888888888888887,58.03333333333333,-1.5,0.0,0.0,2.0,1.0,0.0,0.7011111111111111,69.04444444444445,-1.5,33.55,-1.5,3.0,0.0,20.5
Chris Tickle,69.0,155.0,0.0,0,1,0,0,1,0,900,0.0,2.0,1.0,303,16,40,52,82,1,4,11,34,3,4,2,2,11,34,1,1,4,5,0.0,0.0,2.0,496.0,17.0,30.0,59.0,84.0,4.0,5.0,11.0,21.0,3.0,5.0,3.0,4.0,8.0,21.0,0.0,0.0,9.0,9.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,-3.0,0.0,0.5511111111111111,50.46666666666667,-1.5,0.0,0.33666666666666667,17.15,1.0,0.0,0.11222222222222222,45.48888888888889,-1.5,7.050000000000001,-1.5,3.0,0.0,20.5
Chris Tuchscherer,74.0,258.0,76.0,Orthodox,4,1,0,3,0,1515,0.0,1.0,0.0,362,34,107,68,146,2,11,21,94,3,3,10,10,25,91,8,13,1,3,3.0,1.0,0.0,380.0,80.0,152.0,126.0,204.0,1.0,1.0,68.0,134.0,9.0,15.0,3.0,3.0,27.0,83.0,17.0,25.0,36.0,44.0,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,47.0,0.0,0.25,0.2508250825082508,54.975247524752476,0.0,0.0,0.23894389438943894,30.752475247524753,1.3333333333333333,0.5,0.5102310231023103,41.74257425742575,0.0,42.960396039603964,0.0,1.2625,0.25,36.2625
Chris Wade,70.0,155.0,70.0,Orthodox,7,5,0,2,0,4842,1.0,6.0,8.0,2131,137,254,368,523,14,27,66,156,29,47,42,51,74,168,37,45,26,41,0.0,2.0,4.0,1531.0,141.0,293.0,273.0,466.0,13.0,29.0,75.0,208.0,33.0,47.0,33.0,38.0,66.0,199.0,32.0,48.0,43.0,46.0,0.1,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,35.0,3.0,0.0,0.31619165634035523,63.51425030978934,0.5,0.0,0.44010739363899215,58.6619755708975,7.0,0.0,0.24370095002065262,56.74803800082611,0.375,35.466542750929364,1.0,2.3057142857142856,0.42857142857142855,49.44857142857143
Chris Weidman,74.0,185.0,78.0,Orthodox,17,11,0,6,0,9865,3.0,10.0,0.0,3486,498,1148,772,1470,43,91,375,960,76,127,47,61,313,872,51,78,134,198,4.0,1.0,1.0,622.0,517.0,1081.0,688.0,1275.0,8.0,23.0,347.0,856.0,111.0,150.0,59.0,75.0,319.0,808.0,91.0,133.0,107.0,140.0,-0.5,4.0,1.0,2.0,4.0,0.0,1.0,3.0,2.0,38.0,4.333333333333333,0.11764705882352941,0.06305119107957426,68.91238583624022,0.9285714285714286,0.11764705882352941,0.3533705017739483,57.632765016802466,4.25,0.17647058823529413,0.5835783071464774,60.53430875644733,0.8125,61.305141468650305,1.8571428571428572,1.9343137254901959,0.23529411764705882,45.63179271708684
Chris Wilson,73.0,170.0,75.0,Orthodox,4,1,0,3,0,3435,3.0,6.0,1.0,819,133,261,237,375,5,10,65,157,52,80,16,24,70,173,26,41,37,47,0.0,4.0,1.0,1283.0,78.0,176.0,313.0,428.0,14.0,35.0,42.0,125.0,14.0,18.0,22.0,33.0,41.0,124.0,3.0,8.0,34.0,44.0,-0.8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,45.0,0.0,0.25,0.3735080058224163,51.29475982532751,0.0,0.0,0.23842794759825328,30.7292576419214,4.0,0.0,0.3880640465793304,59.522561863173216,0.0,37.46288209606987,0.0,2.8625,0.25,37.8625
Chris de la Rocha,75.0,250.0,80.0,Orthodox,4,1,0,3,0,1780,0.0,2.0,0.0,559,121,265,169,324,4,13,92,232,22,25,7,8,84,216,17,25,20,24,1.0,0.0,0.0,297.0,189.0,337.0,227.0,377.0,2.0,3.0,166.0,309.0,17.0,21.0,6.0,7.0,118.0,244.0,33.0,45.0,38.0,48.0,-0.6000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,43.0,0.0,0.0,0.16685393258426967,64.99438202247191,0.0,0.0,0.31404494382022474,45.38202247191011,1.0,0.75,0.5191011235955056,31.764044943820224,0.0,43.359550561797754,0.0,1.4833333333333334,0.0,26.483333333333334
Christian Aguilera,69.0,170.0,72.0,Switch,3,1,0,2,0,638,0.0,0.0,0.0,32,27,72,32,78,0,1,16,58,3,4,8,10,27,72,0,0,0,0,0.0,3.0,0.0,180.0,43.0,84.0,75.0,126.0,2.0,5.0,19.0,57.0,2.0,5.0,22.0,22.0,37.0,78.0,0.0,0.0,6.0,6.0,-0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,31.0,-0.3333333333333333,0.6666666666666666,0.28213166144200624,41.20271682340649,-0.25,0.3333333333333333,0.050156739811912224,19.25705329153605,3.0,0.0,0.6677115987460815,69.70846394984326,-0.3333333333333333,61.04702194357367,-0.3333333333333333,0.7088888888888889,0.0,24.04222222222222
Christian Colombo,77.0,265.0,0.0,Orthodox,3,0,0,3,0,1760,0.0,0.0,0.0,114,81,181,152,255,0,1,51,145,21,27,9,9,40,120,39,58,2,3,0.0,3.0,0.0,854.0,118.0,204.0,176.0,283.0,8.0,12.0,101.0,182.0,13.0,18.0,4.0,4.0,48.0,104.0,23.0,40.0,47.0,60.0,-1.2000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,42.0,-0.3333333333333333,0.6666666666666666,0.48522727272727273,35.109848484848484,-0.25,0.0,0.06477272727272727,19.914772727272727,3.0,0.0,0.45,61.0,-0.25,37.25,-0.25,1.9555555555555555,0.0,25.705555555555556
Christian Morecraft,78.0,260.0,81.0,Orthodox,4,1,0,3,0,1658,0.0,4.0,2.0,843,78,227,151,314,6,9,64,208,7,10,7,9,26,139,5,7,47,81,5.0,2.0,0.0,164.0,68.0,126.0,81.0,142.0,1.0,2.0,51.0,104.0,3.0,4.0,14.0,18.0,51.0,105.0,2.0,4.0,15.0,17.0,-0.8,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,36.0,0.0,0.0,0.09891435464414958,67.03256936067551,0.0,0.0,0.508443908323281,54.12997587454765,1.0,0.75,0.3926417370325694,26.705669481302778,0.0,37.66887816646562,0.0,1.3816666666666666,0.0,26.381666666666668
Christian Rodriguez,67.0,135.0,71.0,Orthodox,2,1,0,1,0,1147,0.0,4.0,1.0,121,35,83,53,107,2,4,29,75,5,6,1,2,31,76,2,5,2,2,0.0,2.0,0.0,740.0,36.0,70.0,81.0,134.0,8.0,13.0,18.0,46.0,11.0,16.0,7.0,8.0,22.0,52.0,11.0,13.0,3.0,5.0,0.09999999999999998,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,-2.0,0.0,0.6451612903225806,48.645161290322584,-1.0,0.0,0.1054925893635571,35.24716652136007,2.0,0.0,0.24934612031386225,51.97384481255449,-0.6666666666666666,23.2205754141238,-1.0,1.9116666666666666,0.0,21.911666666666665
Christian Wellisch,74.0,234.0,77.0,Orthodox,5,2,0,3,0,2214,1.0,3.0,1.0,274,115,412,181,484,3,7,89,377,8,12,18,23,83,345,24,45,8,22,4.0,0.0,0.0,722.0,112.0,255.0,199.0,347.0,12.0,22.0,90.0,229.0,7.0,11.0,15.0,15.0,53.0,166.0,47.0,70.0,12.0,19.0,-0.49999999999999994,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,47.0,1.0,0.0,0.3261065943992773,61.21680216802168,0.2,0.0,0.12375790424570912,36.96910569105691,1.6666666666666667,0.4,0.5501355013550135,47.672086720867206,0.16666666666666666,46.75609756097561,0.25,1.476,0.2,35.726
Christina Marks,67.0,125.0,69.0,Orthodox,1,0,0,1,0,120,0.0,0.0,0.0,41,10,17,17,24,1,1,6,13,2,2,2,2,7,12,3,4,0,1,0.0,1.0,0.0,25.0,6.0,17.0,8.0,19.0,0.0,0.0,3.0,13.0,2.0,3.0,1.0,1.0,3.0,10.0,3.0,7.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,-1.5,1.0,0.20833333333333334,32.25,-1.5,0.0,0.3416666666666667,17.375,1.0,0.0,0.45,59.0,-1.5,22.25,-1.5,0.4,0.0,17.9
Christophe Leninger,72.0,200.0,0.0,Southpaw,2,0,0,2,0,1189,0.0,1.0,0.0,0,4,18,39,55,0,2,4,15,0,0,0,3,4,12,0,6,0,0,0.0,0.0,0.0,0.0,43.0,63.0,102.0,130.0,1.0,1.0,26.0,45.0,9.0,9.0,8.0,9.0,14.0,24.0,13.0,19.0,16.0,20.0,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.5,0.0,54.0,-0.6666666666666666,0.0,0.0,12.0,2.0,0.0,1.0,82.0,-0.6666666666666666,57.0,-0.6666666666666666,1.9816666666666667,0.0,23.648333333333333
Christos Giagos,70.0,155.0,71.0,Orthodox,11,5,0,6,0,6164,0.0,3.0,2.0,2068,289,701,463,913,22,53,196,577,72,100,21,24,201,542,38,61,50,98,1.0,5.0,2.0,1263.0,295.0,578.0,460.0,762.0,11.0,23.0,180.0,426.0,66.0,93.0,49.0,59.0,180.0,432.0,60.0,77.0,55.0,69.0,-0.49999999999999994,3.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,33.0,1.4,0.36363636363636365,0.20489941596365996,54.34392661199929,0.7,0.0,0.3354964308890331,51.67915757182467,11.0,0.0,0.45960415314730696,69.38416612589228,0.5833333333333334,47.68218689162882,1.0,1.867878787878788,0.2727272727272727,42.7769696969697
Chuck Liddell,74.0,205.0,76.0,Orthodox,23,16,0,7,0,12269,14.0,0.0,2.0,1063,611,1636,746,1784,7,8,417,1382,45,65,149,189,430,1329,83,134,98,173,6.0,4.0,0.0,647.0,434.0,1091.0,476.0,1137.0,16.0,86.0,262.0,886.0,51.0,63.0,121.0,142.0,367.0,977.0,41.0,72.0,26.0,42.0,-1.1000000000000003,6.0,1.0,9.0,0.0,1.0,0.0,4.0,2.0,53.0,6.333333333333333,0.08695652173913043,0.052734534191865676,72.14260165540345,0.7916666666666666,0.391304347826087,0.08664112804629555,33.3988507620833,4.6,0.17391304347826086,0.8606243377618388,72.0684517713431,1.2666666666666666,91.53679085145666,2.375,1.7781159420289854,0.2608695652173913,49.08789855072464
Chuck O'Neil,74.0,170.0,0.0,0,1,0,0,1,0,900,0.0,0.0,0.0,104,47,125,48,126,0,2,18,90,9,11,20,24,41,119,6,6,0,0,0.0,0.0,0.0,35.0,66.0,238.0,83.0,256.0,0.0,0.0,29.0,177.0,19.0,35.0,18.0,26.0,57.0,228.0,9.0,10.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,-3.0,0.0,0.03888888888888889,65.83333333333334,-1.5,0.0,0.11555555555555555,7.199999999999999,1.0,0.0,0.8455555555555555,74.82222222222222,-1.5,40.05,-1.5,3.0,0.0,20.5
Cindy Dandois,67.0,135.0,0.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,398,47,146,100,212,5,9,34,125,6,8,7,13,28,114,8,18,11,14,0.0,2.0,1.0,162.0,51.0,123.0,115.0,192.0,0.0,0.0,21.0,88.0,17.0,21.0,13.0,14.0,35.0,104.0,9.0,9.0,7.0,10.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,-3.0,0.0,0.18,61.6,-1.5,0.0,0.44222222222222224,21.900000000000002,1.0,0.0,0.37777777777777777,56.111111111111114,-1.5,19.0,-1.5,3.0,0.0,20.5
Ciryl Gane,76.0,245.0,81.0,Orthodox,9,8,0,1,0,8706,3.0,5.0,0.0,736,741,1242,813,1315,6,28,328,730,197,262,216,250,656,1137,61,71,24,34,1.0,0.0,1.0,524.0,326.0,876.0,372.0,932.0,4.0,9.0,127.0,593.0,69.0,115.0,130.0,168.0,306.0,838.0,15.0,29.0,5.0,9.0,0.7000000000000002,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,32.0,5.0,0.0,0.06018837583275902,73.19434872501722,0.7142857142857143,0.2222222222222222,0.08453939811624167,47.375701486659445,9.0,0.0,0.8552722260509993,83.21088904203998,0.625,75.98725017229498,2.5,3.2244444444444444,0.3333333333333333,54.05777777777777
Claude Patrick,71.0,170.0,75.0,Orthodox,4,3,0,1,0,3108,0.0,6.0,0.0,1399,93,167,203,284,8,15,54,119,26,31,13,17,19,62,46,61,28,44,0.0,1.0,1.0,933.0,46.0,151.0,147.0,271.0,3.0,19.0,18.0,103.0,10.0,20.0,18.0,28.0,19.0,110.0,22.0,36.0,5.0,5.0,0.40000000000000013,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.3001930501930502,60.99420849420849,0.0,0.0,0.45012870012870015,51.50579150579151,4.0,0.0,0.24967824967824967,53.98712998712999,0.0,31.235521235521233,0.0,2.59,0.5,47.59
Claudia Gadelha,64.0,115.0,63.0,Orthodox,12,7,0,5,0,10683,1.0,8.0,0.0,3209,590,1420,891,1750,36,84,490,1266,75,120,25,34,465,1227,62,109,63,84,2.0,0.0,0.0,1010.0,813.0,1900.0,1258.0,2404.0,7.0,17.0,515.0,1530.0,180.0,230.0,118.0,140.0,603.0,1597.0,117.0,168.0,93.0,135.0,0.10000000000000006,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,34.0,8.0,0.0,0.09454273144247871,75.16371805672564,0.6666666666666666,0.0,0.30038378732565757,45.26727042965459,12.0,0.0,0.6050734812318637,76.20293924927455,0.6153846153846154,54.61292204004925,1.3333333333333333,2.9675,0.5,54.634166666666665
Claudio Puelles,70.0,155.0,72.0,Southpaw,7,5,0,2,0,4490,0.0,7.0,0.0,1925,136,273,305,467,12,39,85,198,42,62,9,13,71,180,7,15,58,78,3.0,1.0,2.0,715.0,219.0,416.0,479.0,727.0,4.0,10.0,116.0,282.0,62.0,85.0,41.0,49.0,151.0,321.0,18.0,27.0,50.0,68.0,0.5000000000000002,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,26.0,3.0,0.0,0.15924276169265034,68.22271714922049,0.6,0.0,0.4287305122494432,65.77858733693922,2.3333333333333335,0.2857142857142857,0.41202672605790647,47.38583094707817,0.375,43.04120267260579,1.0,2.138095238095238,0.2857142857142857,43.56666666666666
Claudio Silva,71.0,170.0,71.0,Southpaw,8,5,0,3,0,5683,0.0,7.0,0.0,1914,235,559,497,866,18,67,129,390,50,97,56,72,168,453,11,20,56,86,0.0,2.0,6.0,1121.0,284.0,526.0,407.0,665.0,5.0,9.0,205.0,432.0,60.0,74.0,19.0,20.0,209.0,428.0,32.0,41.0,43.0,57.0,-0.9000000000000001,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,40.0,4.0,0.0,0.19725497096603906,68.08235087101883,0.6666666666666666,0.0,0.33679394685905334,60.0307276086574,8.0,0.0,0.4659510821749076,66.63804328699631,0.4444444444444444,46.301132031204176,1.0,2.3679166666666664,0.25,42.367916666666666
Clay Collard,71.0,145.0,73.0,Orthodox,4,1,0,3,0,3527,2.0,2.0,1.0,684,248,770,325,856,11,28,147,604,51,95,50,71,184,669,39,56,25,45,0.0,3.0,3.0,508.0,294.0,596.0,387.0,698.0,2.0,7.0,166.0,426.0,94.0,129.0,34.0,41.0,206.0,474.0,42.0,71.0,46.0,51.0,-0.8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,29.0,0.0,0.25,0.14403175503260562,58.17904734902183,0.0,0.0,0.19393252055571308,28.72696342500709,4.0,0.0,0.6620357244116813,70.48142897646726,0.0,49.79160759852566,0.0,2.9391666666666665,0.25,37.939166666666665
Clay Guida,67.0,155.0,70.0,Orthodox,34,18,0,16,0,23376,6.0,16.0,2.0,9127,1045,3087,1866,4038,76,217,620,2542,166,255,259,290,652,2473,148,213,245,401,6.0,27.0,2.0,2027.0,1150.0,3044.0,1615.0,3570.0,17.0,62.0,863.0,2652.0,195.0,277.0,92.0,115.0,847.0,2643.0,189.0,263.0,114.0,138.0,0.30000000000000004,11.0,0.0,1.0,6.0,7.0,0.0,2.0,7.0,41.0,3.75,0.20588235294117646,0.08671286789869952,64.97214337480372,1.0344827586206897,0.029411764705882353,0.39044318959616703,57.92491310586403,11.333333333333334,0.058823529411764705,0.5228439425051334,69.89414985706809,0.8823529411764706,55.43974211861336,1.7647058823529411,2.2917647058823527,0.3235294117647059,49.05647058823529
Clay Harvison,73.0,170.0,74.0,Orthodox,3,1,0,2,0,1366,0.0,2.0,1.0,230,75,156,137,224,1,1,38,116,27,28,10,12,38,112,26,31,11,13,2.0,1.0,0.0,567.0,89.0,217.0,135.0,275.0,7.0,22.0,57.0,170.0,20.0,33.0,12.0,14.0,46.0,154.0,33.0,45.0,10.0,18.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,-0.5,0.3333333333333333,0.4150805270863836,47.047584187408496,-0.25,0.0,0.1683748169838946,24.576866764275255,1.5,0.3333333333333333,0.41654465592972184,44.82845290385555,-0.25,35.74450951683748,-0.3333333333333333,1.5177777777777777,0.3333333333333333,38.184444444444445
Clifford Starks,72.0,185.0,78.0,Orthodox,3,1,0,2,0,1395,0.0,0.0,1.0,531,45,136,119,226,3,3,40,126,4,9,1,1,35,115,3,5,7,16,1.0,2.0,0.0,86.0,58.0,141.0,100.0,189.0,2.0,5.0,30.0,109.0,19.0,20.0,9.0,12.0,38.0,120.0,16.0,17.0,4.0,4.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,-0.5,0.3333333333333333,0.06164874551971326,57.65053763440861,-0.25,0.0,0.38064516129032255,34.12903225806451,1.5,0.3333333333333333,0.5577060931899641,50.47491039426524,-0.25,42.096774193548384,-0.3333333333333333,1.55,0.3333333333333333,38.21666666666667
Clint Hester,74.0,205.0,77.0,Orthodox,7,4,0,3,0,4429,3.0,0.0,2.0,772,248,579,296,628,5,14,179,490,42,54,27,35,191,497,23,34,34,48,3.0,1.0,1.0,1343.0,254.0,589.0,422.0,776.0,10.0,25.0,194.0,510.0,30.0,39.0,30.0,40.0,153.0,451.0,8.0,18.0,93.0,120.0,-0.9000000000000001,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,36.0,1.0,0.2857142857142857,0.30322871980130955,53.33170983453215,0.375,0.14285714285714285,0.1743057123504177,32.3437570557688,3.5,0.14285714285714285,0.5224655678482727,58.6843369996452,0.42857142857142855,55.08237912460084,0.75,2.109047619047619,0.2857142857142857,42.287619047619046
Cody Brundage,72.0,185.0,72.0,Orthodox,4,2,0,2,0,1547,1.0,2.0,0.0,341,47,102,87,150,5,10,34,85,9,12,4,5,28,79,6,8,13,15,0.0,0.0,3.0,745.0,66.0,150.0,167.0,292.0,5.0,16.0,53.0,131.0,6.0,8.0,7.0,11.0,22.0,68.0,18.0,30.0,26.0,52.0,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,28.0,0.0,0.25,0.48157724628312865,48.05268261150614,0.0,0.25,0.22042663219133807,41.16919844861022,4.0,0.0,0.2979961215255333,55.91984486102133,0.0,44.659825468649,0.0,1.2891666666666666,0.0,26.289166666666667
Cody Donovan,75.0,205.0,74.0,Orthodox,4,1,0,3,0,1081,2.0,2.0,0.0,242,101,171,135,211,2,7,64,130,34,38,3,3,59,111,36,50,6,10,2.0,0.0,2.0,283.0,98.0,181.0,168.0,261.0,1.0,1.0,74.0,149.0,15.0,22.0,9.0,10.0,54.0,116.0,23.0,36.0,21.0,29.0,-1.0000000000000002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,41.0,0.0,0.5,0.26179463459759483,47.14616096207216,0.0,0.25,0.2238667900092507,30.07400555041628,2.0,0.25,0.5143385753931545,52.57354301572618,0.0,54.39523589269196,0.0,0.9008333333333334,0.0,25.900833333333335
Cody Durden,67.0,125.0,67.0,Southpaw,6,3,0,3,0,3024,1.0,1.0,0.0,1567,158,322,291,531,14,34,110,262,22,30,26,30,119,268,8,11,31,43,1.0,4.0,2.0,163.0,158.0,310.0,203.0,370.0,2.0,7.0,87.0,211.0,30.0,46.0,41.0,53.0,139.0,280.0,7.0,11.0,12.0,19.0,0.7,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,31.0,0.6666666666666666,0.3333333333333333,0.0539021164021164,59.04960317460318,0.2857142857142857,0.16666666666666666,0.5181878306878307,46.74702380952381,6.0,0.0,0.4279100529100529,63.116402116402114,0.3333333333333333,50.75595238095238,0.5,1.68,0.3333333333333333,42.513333333333335
Cody East,75.0,245.0,0.0,Orthodox,2,0,0,2,0,680,0.0,0.0,0.0,63,47,109,66,130,3,3,33,90,3,6,11,13,37,91,8,14,2,4,1.0,0.0,0.0,268.0,83.0,139.0,149.0,218.0,5.0,6.0,66.0,120.0,11.0,13.0,6.0,6.0,23.0,51.0,10.0,20.0,50.0,68.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,-0.6666666666666666,1.0,0.3941176470588235,27.50980392156863,-0.6666666666666666,0.0,0.09264705882352942,16.169117647058822,2.0,0.0,0.513235294117647,62.529411764705884,-0.6666666666666666,35.095588235294116,-0.6666666666666666,1.1333333333333333,0.0,22.8
Cody Garbrandt,68.0,125.0,65.0,Orthodox,12,7,0,5,0,7072,10.0,0.0,0.0,334,372,961,399,991,8,26,287,826,36,66,49,69,332,892,17,26,23,43,7.0,0.0,0.0,154.0,497.0,1259.0,533.0,1299.0,2.0,12.0,353.0,1011.0,66.0,125.0,78.0,123.0,439.0,1185.0,26.0,34.0,32.0,40.0,-0.9000000000000001,2.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,31.0,8.0,0.0,0.02177601809954751,77.34671945701358,0.6153846153846154,0.4166666666666667,0.047228506787330315,29.50989819004525,2.4,0.3333333333333333,0.9309954751131222,66.30648567119157,1.0,92.6447963800905,1.3333333333333333,1.9644444444444447,0.16666666666666666,40.297777777777775
Cody Gibson,70.0,135.0,71.0,Orthodox,4,1,0,3,0,2434,2.0,1.0,0.0,373,100,316,129,349,5,13,69,269,23,35,8,12,62,251,32,53,6,12,1.0,4.0,1.0,644.0,103.0,283.0,204.0,388.0,5.0,12.0,49.0,208.0,26.0,38.0,28.0,37.0,58.0,210.0,32.0,55.0,13.0,18.0,-0.8,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,35.0,0.0,0.25,0.2645850451930978,54.562448644207066,0.0,0.25,0.1532456861133936,26.89605587510271,4.0,0.0,0.5821692686935086,67.28677074774035,0.0,57.44761709120789,0.0,2.0283333333333333,0.0,27.028333333333332
Cody McKenzie,72.0,155.0,72.0,Switch,7,3,0,4,0,3241,0.0,9.0,3.0,913,94,274,226,413,9,36,73,242,12,19,9,13,67,238,12,18,15,18,1.0,7.0,1.0,724.0,135.0,412.0,200.0,479.0,6.0,7.0,67.0,301.0,47.0,83.0,21.0,28.0,103.0,367.0,8.0,13.0,24.0,32.0,-0.30000000000000004,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,35.0,1.0,0.2857142857142857,0.22338784325825362,55.726936130823816,0.5,0.0,0.28170317803147177,51.533785868559086,3.5,0.14285714285714285,0.4949089787102746,57.58207343412528,0.375,46.77090404196235,0.6,1.5433333333333332,0.14285714285714285,35.257619047619045
